x rho u p
6.242197253433e-04 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.872659176030e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.121098626717e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.369538077403e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
5.617977528090e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
6.866416978777e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
8.114856429463e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
9.363295880150e-03 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.061173533084e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.186017478152e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.310861423221e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.435705368290e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.560549313358e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.685393258427e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.810237203496e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
1.935081148564e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.059925093633e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.184769038702e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.309612983770e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.434456928839e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.559300873908e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.684144818976e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.808988764045e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
2.933832709114e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.058676654182e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.183520599251e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.308364544320e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.433208489388e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.558052434457e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.682896379526e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.807740324594e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
3.932584269663e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.057428214732e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.182272159800e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.307116104869e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.431960049938e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.556803995006e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.681647940075e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.806491885144e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
4.931335830212e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
5.056179775281e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
5.181023720350e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
5.305867665418e-02 1.000000000000e+04 0.000000000000e+00 1.000000000000e+04
5.430711610487e-02 1.000000000000e+04 6.684019218558e-18 1.000000000000e+04
5.555555555556e-02 1.000000000000e+04 -1.192031400648e-17 1.000000000000e+04
5.680399500624e-02 1.000000000000e+04 4.974841987467e-17 1.000000000000e+04
5.805243445693e-02 1.000000000000e+04 8.916784571698e-17 1.000000000000e+04
5.930087390762e-02 1.000000000000e+04 -2.662812879738e-16 1.000000000000e+04
6.054931335830e-02 1.000000000000e+04 2.844479692043e-16 1.000000000000e+04
6.179775280899e-02 1.000000000000e+04 3.143616307689e-15 1.000000000000e+04
6.304619225968e-02 1.000000000000e+04 7.628713797459e-15 1.000000000000e+04
6.429463171036e-02 1.000000000000e+04 1.258563783394e-14 1.000000000000e+04
6.554307116105e-02 1.000000000000e+04 1.725143871334e-14 1.000000000000e+04
6.679151061174e-02 1.000000000000e+04 2.114954859086e-14 1.000000000000e+04
6.803995006242e-02 1.000000000000e+04 2.447338899291e-14 1.000000000000e+04
6.928838951311e-02 1.000000000000e+04 2.774852479543e-14 1.000000000000e+04
7.053682896380e-02 1.000000000000e+04 3.111421713070e-14 9.999999999999e+03
7.178526841448e-02 1.000000000000e+04 3.461717954460e-14 9.999999999999e+03
7.303370786517e-02 1.000000000000e+04 3.812651173054e-14 9.999999999999e+03
7.428214731586e-02 1.000000000000e+04 4.154981688090e-14 9.999999999999e+03
7.553058676654e-02 1.000000000000e+04 4.485982763566e-14 9.999999999999e+03
7.677902621723e-02 1.000000000000e+04 4.812965875871e-14 9.999999999999e+03
7.802746566792e-02 1.000000000000e+04 5.146104779918e-14 9.999999999999e+03
7.927590511860e-02 1.000000000000e+04 5.482866866878e-14 9.999999999999e+03
8.052434456929e-02 1.000000000000e+04 5.829918668038e-14 9.999999999999e+03
8.177278401998e-02 1.000000000000e+04 6.177363312894e-14 9.999999999999e+03
8.302122347066e-02 1.000000000000e+04 6.590944029355e-14 9.999999999999e+03
8.426966292135e-02 1.000000000000e+04 7.314590778617e-14 9.999999999999e+03
8.551810237203e-02 1.000000000000e+04 8.336722831560e-14 9.999999999999e+03
8.676654182272e-02 1.000000000000e+04 9.432356932213e-14 9.999999999999e+03
8.801498127341e-02 9.999999999999e+03 1.055067327410e-13 9.999999999998e+03
8.926342072409e-02 9.999999999999e+03 1.174887313908e-13 9.999999999998e+03
9.051186017478e-02 9.999999999999e+03 1.294008184819e-13 9.999999999998e+03
9.176029962547e-02 9.999999999999e+03 1.401843883915e-13 9.999999999998e+03
9.300873907615e-02 9.999999999999e+03 1.512591520647e-13 9.999999999998e+03
9.425717852684e-02 9.999999999999e+03 1.630336134852e-13 9.999999999997e+03
9.550561797753e-02 9.999999999999e+03 1.741734341491e-13 9.999999999997e+03
9.675405742821e-02 9.999999999999e+03 1.849450093191e-13 9.999999999997e+03
9.800249687890e-02 9.999999999999e+03 1.965863251708e-13 9.999999999997e+03
9.925093632959e-02 9.999999999998e+03 2.085009816675e-13 9.999999999997e+03
1.004993757803e-01 9.999999999998e+03 2.250299893755e-13 9.999999999997e+03
1.017478152310e-01 9.999999999998e+03 2.619630969164e-13 9.999999999996e+03
1.029962546816e-01 9.999999999997e+03 3.552480682605e-13 9.999999999995e+03
1.042446941323e-01 9.999999999995e+03 5.801170507656e-13 9.999999999992e+03
1.054931335830e-01 9.999999999991e+03 1.103108959953e-12 9.999999999986e+03
1.067415730337e-01 9.999999999981e+03 2.302144314904e-12 9.999999999972e+03
1.079900124844e-01 9.999999999958e+03 5.017944995733e-12 9.999999999940e+03
1.092384519351e-01 9.999999999906e+03 1.111184233974e-11 9.999999999868e+03
1.104868913858e-01 9.999999999792e+03 2.467988417682e-11 9.999999999707e+03
1.117353308365e-01 9.999999999538e+03 5.469640951827e-11 9.999999999352e+03
1.129837702871e-01 9.999999998980e+03 1.207450644940e-10 9.999999998571e+03
1.142322097378e-01 9.999999997758e+03 2.653317850698e-10 9.999999996860e+03
1.154806491885e-01 9.999999995097e+03 5.801796630600e-10 9.999999993134e+03
1.167290886392e-01 9.999999989334e+03 1.262061957127e-09 9.999999985066e+03
1.179775280899e-01 9.999999976923e+03 2.730500980251e-09 9.999999967691e+03
1.192259675406e-01 9.999999950354e+03 5.874207928656e-09 9.999999930495e+03
1.204744069913e-01 9.999999893802e+03 1.256555839553e-08 9.999999851321e+03
1.217228464419e-01 9.999999774098e+03 2.672908622341e-08 9.999999683736e+03
1.229712858926e-01 9.999999522421e+03 5.650788531716e-08 9.999999331389e+03
1.242197253433e-01 9.999998998316e+03 1.185208084563e-07 9.999998597642e+03
1.254681647940e-01 9.999997916951e+03 2.464696276203e-07 9.999997083731e+03
